Órgão Julgador,Status,Erro
"Vara do Trabalho de Rio Claro","Erro","Botão "Gravar" não encontrado no modal de Localização/Visibilidade"
"Vara doTrabalho de Botucatu","Erro","Órgão julgador "Vara doTrabalho de Botucatu" não encontrado nas opções disponíveis"
